17:26:58 DEBUG   Count: 0 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:26:58 DEBUG   Count: 1 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:26:58 DEBUG   Count: 2 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:26:59 DEBUG   Count: 3 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:26:59 DEBUG   Count: 4 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:26:59 DEBUG   Count: 5 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:26:59 DEBUG   Count: 6 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:26:59 DEBUG   Count: 7 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:26:59 DEBUG   Count: 8 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:26:59 DEBUG   Count: 9 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:26:59 DEBUG   Count: 10 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:26:59 DEBUG   Count: 11 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:00 DEBUG   Count: 12 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:00 DEBUG   Count: 13 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:00 DEBUG   Count: 14 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:00 DEBUG   Count: 15 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:00 DEBUG   Count: 16 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:00 DEBUG   Count: 17 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:00 DEBUG   Count: 18 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:00 DEBUG   Count: 19 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:00 DEBUG   Count: 20 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:00 DEBUG   Count: 21 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:01 DEBUG   Count: 22 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:01 DEBUG   Count: 23 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:01 DEBUG   Count: 24 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:01 DEBUG   Count: 25 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:01 DEBUG   Count: 26 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:01 DEBUG   Count: 27 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:01 DEBUG   Count: 28 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:01 DEBUG   Count: 29 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:02 DEBUG   Count: 30 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:02 DEBUG   Count: 31 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:02 DEBUG   Count: 32 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:02 DEBUG   Count: 33 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:02 DEBUG   Count: 34 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:02 DEBUG   Count: 35 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:02 DEBUG   Count: 36 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:02 DEBUG   Count: 37 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:02 DEBUG   Count: 38 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:02 DEBUG   Count: 39 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:03 DEBUG   Count: 40 | MAC: 0C:43:14:F4:61:DA | RSSI: -44 | Distance: 1.1787686347935873
17:27:03 DEBUG   Count: 41 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:03 DEBUG   Count: 42 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:03 DEBUG   Count: 43 | MAC: 0C:43:14:F4:61:DA | RSSI: -44 | Distance: 1.1787686347935873
17:27:03 DEBUG   Count: 44 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:03 DEBUG   Count: 45 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
