16:30:42 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -19 | DataHex: 020106050955542D330716E6FC05510400
16:30:43 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -24 | DataHex: 020106050955542D330716E6FC05510400
16:30:44 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -21 | DataHex: 020106050955542D330716E6FC05510400
16:30:45 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -20 | DataHex: 020106050955542D330716E6FC05510400
16:30:46 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -23 | DataHex: 020106050955542D330716E6FC05510400
16:30:47 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -21 | DataHex: 020106050955542D330716E6FC05510400
16:30:48 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -19 | DataHex: 020106050955542D330716E6FC05510400
16:30:49 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -23 | DataHex: 020106050955542D330716E6FC05510400
16:30:50 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -21 | DataHex: 020106050955542D330716E6FC05510400
16:30:53 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -21 | DataHex: 020106050955542D330716E6FC05510400
16:30:54 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -19 | DataHex: 020106050955542D330716E6FC05510400
16:30:55 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -23 | DataHex: 020106050955542D330716E6FC05510400
16:30:56 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -21 | DataHex: 020106050955542D330716E6FC05510400
16:30:57 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -20 | DataHex: 020106050955542D330716E6FC05510400
16:30:58 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -23 | DataHex: 020106050955542D330716E6FC05510400
16:30:59 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -21 | DataHex: 020106050955542D330716E6FC05510400
16:31:00 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -20 | DataHex: 020106050955542D330716E6FC05510400
16:31:01 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -23 | DataHex: 020106050955542D330716E6FC05510400
16:31:02 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -21 | DataHex: 020106050955542D330716E6FC05510400
16:31:06 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -21 | DataHex: 020106050955542D330716E6FC05510400
16:31:07 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -19 | DataHex: 020106050955542D330716E6FC05510400
16:31:08 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -23 | DataHex: 020106050955542D330716E6FC05510400
16:31:09 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -21 | DataHex: 020106050955542D330716E6FC05510400
16:31:10 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -20 | DataHex: 020106050955542D330716E6FC05510400
16:31:11 INFO   CRC VALID | Address: 50:32:5F:D7:1B:7A | RSSI: -23 | DataHex: 020106050955542D330716E6FC05510400
