16:19:39 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -39 | Distance: 0.8961505019466046
16:19:40 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -29 | Distance: 0.5179474679231212
16:19:41 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -30 | Distance: 0.5471359332670894
16:19:42 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -32 | Distance: 0.6105402296585328
16:19:43 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -30 | Distance: 0.5471359332670894
16:19:45 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -34 | Distance: 0.6812920690579612
16:19:46 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -28 | Distance: 0.4903161412303262
16:19:47 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -28 | Distance: 0.4903161412303262
16:19:48 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -33 | Distance: 0.6449466771037624
16:19:49 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -31 | Distance: 0.5779692884153314
16:19:50 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -29 | Distance: 0.5179474679231212
16:19:51 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -31 | Distance: 0.5779692884153314
16:19:52 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -27 | Distance: 0.4641588833612779
16:19:54 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -30 | Distance: 0.5471359332670894
16:19:55 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -23 | Distance: 0.37275937203149406
16:19:56 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -23 | Distance: 0.37275937203149406
16:19:57 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -29 | Distance: 0.5179474679231212
16:19:59 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -26 | Distance: 0.4393970560760791
16:20:00 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -23 | Distance: 0.37275937203149406
16:20:01 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -29 | Distance: 0.5179474679231212
16:20:02 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -27 | Distance: 0.4641588833612779
16:20:03 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -25 | Distance: 0.4159562163071847
16:20:04 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -29 | Distance: 0.5179474679231212
16:20:05 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -24 | Distance: 0.39376589235643866
16:20:06 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -23 | Distance: 0.37275937203149406
16:20:07 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -28 | Distance: 0.4903161412303262
16:20:09 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -24 | Distance: 0.39376589235643866
16:20:10 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -29 | Distance: 0.5179474679231212
16:20:11 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -24 | Distance: 0.39376589235643866
16:20:12 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -24 | Distance: 0.39376589235643866
16:20:14 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -24 | Distance: 0.39376589235643866
16:20:15 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -23 | Distance: 0.37275937203149406
16:20:16 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -31 | Distance: 0.5779692884153314
16:20:17 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -25 | Distance: 0.4159562163071847
16:20:18 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -23 | Distance: 0.37275937203149406
16:20:19 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -31 | Distance: 0.5779692884153314
16:20:20 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -25 | Distance: 0.4159562163071847
16:20:21 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -24 | Distance: 0.39376589235643866
16:20:22 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -31 | Distance: 0.5779692884153314
16:20:23 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -31 | Distance: 0.5779692884153314
16:20:24 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -25 | Distance: 0.4159562163071847
16:20:25 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -23 | Distance: 0.37275937203149406
16:20:26 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -31 | Distance: 0.5779692884153314
16:20:27 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -25 | Distance: 0.4159562163071847
16:20:28 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -23 | Distance: 0.37275937203149406
16:20:29 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -31 | Distance: 0.5779692884153314
16:20:30 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -25 | Distance: 0.4159562163071847
16:20:31 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -23 | Distance: 0.37275937203149406
16:20:32 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -31 | Distance: 0.5779692884153314
16:20:33 DEBUG   MAC: 00:FA:B6:02:91:74 | RSSI: -25 | Distance: 0.4159562163071847
