23:05:03 DEBUG   Count: 0 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -49 | Distance: 1.5505157798326246
23:05:04 DEBUG   Count: 1 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -56 | Distance: 2.2758459260747883
23:05:05 DEBUG   Count: 2 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -48 | Distance: 1.4677992676220695
23:05:06 DEBUG   Count: 3 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -56 | Distance: 2.2758459260747883
23:05:08 DEBUG   Count: 4 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -49 | Distance: 1.5505157798326246
23:05:10 DEBUG   Count: 5 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -49 | Distance: 1.5505157798326246
23:05:11 DEBUG   Count: 6 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -54 | Distance: 2.039500469005057
23:05:15 DEBUG   Count: 7 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -49 | Distance: 1.5505157798326246
23:05:16 DEBUG   Count: 8 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -54 | Distance: 2.039500469005057
23:05:17 DEBUG   Count: 9 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -48 | Distance: 1.4677992676220695
23:05:18 DEBUG   Count: 10 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -54 | Distance: 2.039500469005057
23:05:19 DEBUG   Count: 11 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -49 | Distance: 1.5505157798326246
23:05:20 DEBUG   Count: 12 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -48 | Distance: 1.4677992676220695
23:05:21 DEBUG   Count: 13 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -54 | Distance: 2.039500469005057
23:05:22 DEBUG   Count: 14 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -49 | Distance: 1.5505157798326246
23:05:23 DEBUG   Count: 15 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -54 | Distance: 2.039500469005057
23:05:24 DEBUG   Count: 16 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -49 | Distance: 1.5505157798326246
23:05:25 DEBUG   Count: 17 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -54 | Distance: 2.039500469005057
23:05:27 DEBUG   Count: 18 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -48 | Distance: 1.4677992676220695
23:05:28 DEBUG   Count: 19 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -54 | Distance: 2.039500469005057
23:05:29 DEBUG   Count: 20 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -49 | Distance: 1.5505157798326246
23:05:30 DEBUG   Count: 21 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -54 | Distance: 2.039500469005057
23:05:31 DEBUG   Count: 22 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -49 | Distance: 1.5505157798326246
23:05:32 DEBUG   Count: 23 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -48 | Distance: 1.4677992676220695
23:05:33 DEBUG   Count: 24 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -54 | Distance: 2.039500469005057
23:05:34 DEBUG   Count: 25 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -47 | Distance: 1.3894954943731377
23:05:34 DEBUG   Count: 26 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -48 | Distance: 1.4677992676220695
23:05:35 DEBUG   Count: 27 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -54 | Distance: 2.039500469005057
23:05:36 DEBUG   Count: 28 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -49 | Distance: 1.5505157798326246
23:05:37 DEBUG   Count: 29 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -54 | Distance: 2.039500469005057
23:05:39 DEBUG   Count: 30 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -55 | Distance: 2.154434690031884
23:05:40 DEBUG   Count: 31 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -49 | Distance: 1.5505157798326246
23:05:41 DEBUG   Count: 32 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -55 | Distance: 2.154434690031884
23:05:43 DEBUG   Count: 33 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -52 | Distance: 1.8276993690192174
23:05:44 DEBUG   Count: 34 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -54 | Distance: 2.039500469005057
23:05:45 DEBUG   Count: 35 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -52 | Distance: 1.8276993690192174
23:05:46 DEBUG   Count: 36 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -53 | Distance: 1.93069772888325
23:05:47 DEBUG   Count: 37 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -57 | Distance: 2.4040991835099716
23:05:48 DEBUG   Count: 38 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -53 | Distance: 1.93069772888325
23:05:48 DEBUG   Count: 39 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -55 | Distance: 2.154434690031884
23:05:53 DEBUG   Count: 0 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -53 | Distance: 1.93069772888325
23:05:53 DEBUG   Count: 1 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -56 | Distance: 2.2758459260747883
23:05:54 DEBUG   Count: 2 | MAC: C9:CE:2A:EA:D2:88 | RSSI: -60 | Distance: 2.8338767124544275
